date,split,model,mean_wis,state_count,row_count
2026-04-06,test,lstm,0.22301989518429918,23,23
2026-04-13,test,lstm,0.3184273820370435,23,23
2026-04-20,test,lstm,0.3642056641727686,25,25
2026-04-27,test,lstm,0.2845567870729913,24,24
2026-05-04,test,lstm,0.3888359897925207,24,24
2026-05-11,test,lstm,0.34469702988862994,25,25
2026-02-02,test,xgboost,0.3347707720978185,25,25
2026-02-09,test,xgboost,0.306811058200736,24,24
2026-02-16,test,xgboost,0.4105730386385462,25,25
2026-02-23,test,xgboost,0.35880241885199454,23,23
2026-03-02,test,xgboost,0.3559590106915957,25,25
2026-03-09,test,xgboost,0.37716025731875713,24,24
2026-03-16,test,xgboost,0.41718951421732986,22,22
2026-03-23,test,xgboost,0.32522344752994514,23,23
2026-03-30,test,xgboost,0.35578538356244455,22,22
2026-04-06,test,xgboost,0.3148169445856804,23,23
2026-04-13,test,xgboost,0.36430219012869236,23,23
2026-04-20,test,xgboost,0.35373824123651937,25,25
2026-04-27,test,xgboost,0.3088652605752983,24,24
2026-05-04,test,xgboost,0.39475068323722234,24,24
2026-05-11,test,xgboost,0.3202648602033981,25,25
2022-01-03,train,catboost,0.7443821115739812,19,19
2022-01-10,train,catboost,0.3693526834904757,19,19
2022-01-17,train,catboost,0.28269396114194756,16,16
2022-01-24,train,catboost,0.33550127055536255,15,15
2022-01-31,train,catboost,0.26679027306753494,19,19
2022-02-07,train,catboost,0.2620493319293982,20,20
2022-02-14,train,catboost,0.26988758659261514,20,20
2022-02-21,train,catboost,0.3220531184668701,22,22
2022-02-28,train,catboost,0.3546796413294735,24,24
2022-03-07,train,catboost,0.2325912830444287,21,21
2022-03-14,train,catboost,0.21242856890848197,23,23
2022-03-21,train,catboost,0.21964180325321234,22,22
2022-03-28,train,catboost,0.23418468986823643,23,23
2022-04-04,train,catboost,0.20728436266396616,23,23
2022-04-11,train,catboost,0.28062695379816693,23,23
2022-04-18,train,catboost,0.19512475555269504,23,23
2022-04-25,train,catboost,0.2180537853383306,22,22
2022-05-02,train,catboost,0.18700512807685685,23,23
2022-05-09,train,catboost,0.19554574310269243,20,20
2022-05-16,train,catboost,0.20538238161661967,21,21
2022-05-23,train,catboost,0.2737852703301055,21,21
2022-05-30,train,catboost,0.2484644496433875,20,20
2022-06-06,train,catboost,0.32288781229630364,23,23
