date,state,split,model,mean_wis,row_count
2024-11-04,Alabama,train,ensemble_dl,0.5265894356871604,1
2024-11-11,Alabama,train,ensemble_dl,0.1494160798501293,1
2024-11-18,Alabama,train,ensemble_dl,0.4196151874575351,1
2024-11-25,Alabama,train,ensemble_dl,1.2919002296781112,1
2024-12-02,Alabama,train,ensemble_dl,0.5179490380611131,1
2024-12-09,Alabama,train,ensemble_dl,0.3795327841352589,1
2024-12-16,Alabama,train,ensemble_dl,0.5164504257695804,1
2024-12-23,Alabama,train,ensemble_dl,1.7113432417881584,1
2025-01-06,Alabama,train,ensemble_dl,1.1498307990738637,1
2025-01-13,Alabama,train,ensemble_dl,0.7492662995016549,1
2025-01-20,Alabama,train,ensemble_dl,0.4437324422781222,1
2025-01-27,Alabama,train,ensemble_dl,1.0365336825692906,1
2025-02-03,Alabama,train,ensemble_dl,0.3616480674718659,1
2025-02-10,Alabama,train,ensemble_dl,0.30637749712690315,1
2025-02-17,Alabama,train,ensemble_dl,0.34084386536234196,1
2025-02-24,Alabama,train,ensemble_dl,0.15657295660486534,1
2025-03-03,Alabama,train,ensemble_dl,0.1771606611257347,1
2025-03-10,Alabama,train,ensemble_dl,0.2027215443695806,1
2025-03-17,Alabama,train,ensemble_dl,0.4742080150050099,1
2025-03-24,Alabama,train,ensemble_dl,0.17613155206391706,1
2025-03-31,Alabama,train,ensemble_dl,0.38543740161944157,1
2025-04-07,Alabama,train,ensemble_dl,0.1521748286223271,1
2025-04-14,Alabama,train,ensemble_dl,0.8927973626543658,1
2025-04-21,Alabama,train,ensemble_dl,0.2053943141105611,1
2025-04-28,Alabama,train,ensemble_dl,0.5139606365254589,1
2025-05-05,Alabama,train,ensemble_dl,0.29857752002958476,1
2025-05-12,Alabama,train,ensemble_dl,0.22602986664221217,1
2025-05-19,Alabama,train,ensemble_dl,0.8210912221171373,1
2025-05-26,Alabama,train,ensemble_dl,0.9080127340086018,1
2025-06-02,Alabama,train,ensemble_dl,0.6822544541656961,1
2025-06-09,Alabama,train,ensemble_dl,0.30447392464131945,1
2025-06-16,Alabama,train,ensemble_dl,0.2701607175543874,1
2025-06-23,Alabama,train,ensemble_dl,0.1713916416334671,1
2025-06-30,Alabama,train,ensemble_dl,0.14250756644581328,1
2025-07-07,Alabama,train,ensemble_dl,0.857347688638141,1
2025-07-14,Alabama,train,ensemble_dl,0.8624755083323161,1
2025-07-21,Alabama,train,ensemble_dl,0.18255806119858584,1
2025-07-28,Alabama,train,ensemble_dl,0.5254760543445757,1
2025-08-04,Alabama,train,ensemble_dl,0.23230659106123644,1
2025-08-11,Alabama,train,ensemble_dl,0.33116932315079617,1
2025-08-18,Alabama,train,ensemble_dl,0.3186521723537934,1
2025-08-25,Alabama,train,ensemble_dl,0.7038642964128106,1
2025-09-01,Alabama,train,ensemble_dl,0.47794868757116316,1
2025-09-08,Alabama,train,ensemble_dl,0.5620625799960344,1
2025-09-15,Alabama,train,ensemble_dl,1.1162220336702526,1
2025-09-22,Alabama,train,ensemble_dl,1.0231720075998363,1
2025-09-29,Alabama,train,ensemble_dl,0.43479374938262855,1
2025-10-06,Alabama,train,ensemble_dl,0.3975031319713165,1
2025-10-13,Alabama,train,ensemble_dl,0.28027555521555997,1
