date,state,week,year,month,quarter,holiday,cases_per_100k,lagged1,lagged2,lagged4,lagged6,lagged8,lagged12,rolling_mean_2,rolling_mean_4,rolling_mean_6,rolling_mean_8,rolling_mean_12,rolling_std_2,rolling_std_4,rolling_std_6,rolling_std_8,rolling_std_12,rolling_median_4,rolling_median_6,rolling_median_12,rolling_median_2,rolling_median_8,rolling_max_4,rolling_max_6,rolling_max_12,rolling_max_8,rolling_max_2,rolling_min_4,rolling_min_6,rolling_min_12,rolling_min_2,rolling_min_8,expanding_mean,expanding_std,expanding_median,expanding_max,expanding_min,ewm_mean,ewm_std
2022-01-03,Alabama,1,0,1,1,1,6.456367461536627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-10,Alabama,2,0,1,1,0,2.2102879598053318,6.456367461536627,,,,,,,,,,,,,,,,,,,,,6.456367461536627,6.456367461536627,6.456367461536627,6.456367461536627,6.456367461536627,6.456367461536627,6.456367461536627,6.456367461536627,6.456367461536627,6.456367461536627,6.456367461536627,,6.456367461536627,6.456367461536627,6.456367461536627,6.456367461536627,
2022-01-17,Alabama,3,0,1,1,1,1.4541368156614025,2.2102879598053318,6.456367461536627,,,,,4.3333277106709795,,,,,3.0024316091313956,,,,,,,,4.3333277106709795,,6.456367461536627,6.456367461536627,6.456367461536627,6.456367461536627,6.456367461536627,2.2102879598053318,2.2102879598053318,2.2102879598053318,2.2102879598053318,2.2102879598053318,4.3333277106709795,3.0024316091313956,4.3333277106709795,6.456367461536627,2.2102879598053318,5.394847586103803,3.0024316091313956
2022-01-24,Alabama,4,0,1,1,0,1.3281116249707476,1.4541368156614025,2.2102879598053318,,,,,1.8322123877333671,,,,,0.5346796016261389,,,,,,,,1.8322123877333671,,6.456367461536627,6.456367461536627,6.456367461536627,6.456367461536627,2.2102879598053318,1.4541368156614025,1.4541368156614025,1.4541368156614025,1.4541368156614025,1.4541368156614025,3.3735974123344534,2.6963947263690864,2.2102879598053318,6.456367461536627,1.4541368156614025,4.409669893493203,3.0489916878888472
2022-01-31,Alabama,5,0,1,1,0,1.2020864342800928,1.3281116249707476,1.4541368156614025,6.456367461536627,,,,1.3911242203160752,2.8622259654935274,,,,0.08911326693768991,2.427556942038108,,,,1.8322123877333671,,,1.3911242203160752,,6.456367461536627,6.456367461536627,6.456367461536627,6.456367461536627,1.4541368156614025,1.3281116249707476,1.3281116249707476,1.3281116249707476,1.3281116249707476,1.3281116249707476,2.8622259654935274,2.427556942038108,1.8322123877333671,6.456367461536627,1.3281116249707476,3.6392803263625892,2.8853322044036736
2022-02-07,Alabama,6,0,2,1,0,4.129748556478383,1.2020864342800928,1.3281116249707476,2.2102879598053318,,,,1.26509902962542,1.5486557086793937,,,,0.08911326693768976,0.45293156645857924,,,,1.3911242203160752,,,1.26509902962542,,2.2102879598053318,6.456367461536627,6.456367461536627,6.456367461536627,1.3281116249707476,1.2020864342800928,1.2020864342800928,1.2020864342800928,1.2020864342800928,1.2020864342800928,2.53019805925084,2.2295710759577885,1.4541368156614025,6.456367461536627,1.2020864342800928,3.0299818533419653,2.673480338281661
2022-02-14,Alabama,7,0,2,1,0,3.8001442115951316,4.129748556478383,1.2020864342800928,1.4541368156614025,6.456367461536627,,,2.6659174953792375,2.0285208578476563,2.796789808788764,,,2.0701697396294096,1.4045926834694664,2.098384309827016,,,1.3911242203160752,1.8322123877333671,,2.6659174953792375,,4.129748556478383,6.456367461536627,6.456367461536627,6.456367461536627,4.129748556478383,1.2020864342800928,1.2020864342800928,1.2020864342800928,1.2020864342800928,1.2020864342800928,2.796789808788764,2.098384309827016,1.8322123877333671,6.456367461536627,1.2020864342800928,3.3049235291260697,2.3221075107313176
2022-02-21,Alabama,8,0,2,1,1,10.29528865488273,3.8001442115951316,4.129748556478383,1.3281116249707476,2.2102879598053318,,,3.9649463840367574,2.6150227068310885,2.354085933798515,,,0.23306546737549652,1.5654005263349442,1.3003364713943912,,,2.5641279182829395,1.8322123877333671,,3.9649463840367574,,4.129748556478383,4.129748556478383,6.456367461536627,6.456367461536627,4.129748556478383,1.2020864342800928,1.2020864342800928,1.2020864342800928,3.8001442115951316,1.2020864342800928,2.9401261520468163,1.952732549752688,2.2102879598053318,6.456367461536627,1.2020864342800928,3.4287286997433353,1.9991608231538296
2022-02-28,Alabama,9,0,2,1,0,10.101403746127875,10.29528865488273,3.8001442115951316,1.2020864342800928,1.4541368156614025,6.456367461536627,,7.047716433238931,4.856816964309084,3.701586049644748,3.859521464901306,,4.592760680634784,3.8548331287830746,3.481432409827576,3.1671325466853366,,3.9649463840367574,2.627140513628267,,7.047716433238931,3.0052160857002317,10.29528865488273,10.29528865488273,10.29528865488273,10.29528865488273,10.29528865488273,1.2020864342800928,1.2020864342800928,1.2020864342800928,3.8001442115951316,1.2020864342800928,3.859521464901306,3.1671325466853366,3.0052160857002317,10.29528865488273,1.2020864342800928,5.145368688528184,3.668280521260866
2022-03-07,Alabama,10,0,3,1,0,11.45859810741185,10.101403746127875,10.29528865488273,4.129748556478383,1.3281116249707476,2.2102879598053318,,10.198346200505302,7.08164629227103,5.142797204722494,4.315151000475212,,0.13709733375029243,3.602239510034209,4.099901439028805,3.794202326687122,,7.115576151303129,3.9649463840367574,,10.198346200505302,3.0052160857002317,10.29528865488273,10.29528865488273,10.29528865488273,10.29528865488273,10.29528865488273,3.8001442115951316,1.2020864342800928,1.2020864342800928,10.101403746127875,1.2020864342800928,4.553063940593146,3.62020689844355,3.8001442115951316,10.29528865488273,1.2020864342800928,6.384377452928107,3.9293941989355488
2022-03-14,Alabama,11,0,3,1,0,10.489173563637584,11.45859810741185,10.101403746127875,3.8001442115951316,1.2020864342800928,1.4541368156614025,,10.780000926769862,8.913858680004397,6.831211618462677,5.471189768926027,,0.9596813362520444,3.461424874113108,4.296021755616339,4.418771357146997,,10.198346200505302,7.115576151303129,,10.780000926769862,3.9649463840367574,11.45859810741185,11.45859810741185,11.45859810741185,11.45859810741185,11.45859810741185,3.8001442115951316,1.2020864342800928,1.2020864342800928,10.101403746127875,1.2020864342800928,5.243617357275017,4.051953518112475,3.9649463840367574,11.45859810741185,1.2020864342800928,7.652932616549043,4.146478607545779
2022-03-21,Alabama,12,0,3,1,0,11.09021678077763,10.489173563637584,11.45859810741185,10.29528865488273,4.129748556478383,1.3281116249707476,,10.973885835524717,10.586116018015009,8.379059473355593,6.60056936242305,,0.685486668751459,0.6028126788766878,3.4524672912401084,4.399971476404214,,10.392231109260157,10.198346200505302,,10.973885835524717,7.115576151303129,11.45859810741185,11.45859810741185,11.45859810741185,11.45859810741185,11.45859810741185,10.101403746127875,3.8001442115951316,1.2020864342800928,10.489173563637584,1.2020864342800928,5.7204861033079775,4.156673717291651,4.129748556478383,11.45859810741185,1.2020864342800928,8.361992853321178,3.8247009807120578
